
PANTHER Pathways	danio_orthologue_universe.txt - REFLIST (13223)	river_specific_outlier_danio_ensembl_Tacarigua.txt (342)	river_specific_outlier_danio_ensembl_Tacarigua.txt (expected)	river_specific_outlier_danio_ensembl_Tacarigua.txt (over/under)	river_specific_outlier_danio_ensembl_Tacarigua.txt (fold Enrichment)	river_specific_outlier_danio_ensembl_Tacarigua.txt (raw P-value)	river_specific_outlier_danio_ensembl_Tacarigua.txt (FDR)
Succinate to proprionate conversion (P02777)	4	2	.10	+	19.33	8.89E-03	1.00E00
Methylmalonyl pathway (P02755)	5	2	.13	+	15.47	1.22E-02	9.24E-01
Proline biosynthesis (P02768)	4	1	.10	+	9.67	1.20E-01	1.00E00
Arginine biosynthesis (P02728)	5	1	.13	+	7.73	1.42E-01	1.00E00
mRNA splicing (P00058)	6	1	.16	+	6.44	1.64E-01	1.00E00
De novo pyrimidine ribonucleotides biosythesis (P02740)	7	1	.18	+	5.52	1.85E-01	1.00E00
Vitamin D metabolism and pathway (P04396)	7	1	.18	+	5.52	1.85E-01	1.00E00
Cytoskeletal regulation by Rho GTPase (P00016)	53	5	1.37	+	3.65	1.52E-02	7.66E-01
Blood coagulation (P00011)	33	3	.85	+	3.51	6.15E-02	1.00E00
Plasminogen activating cascade (P00050)	12	1	.31	+	3.22	2.83E-01	1.00E00
5-Hydroxytryptamine degredation (P04372)	13	1	.34	+	2.97	3.01E-01	1.00E00
5HT3 type receptor mediated signaling pathway (P04375)	14	1	.36	+	2.76	3.18E-01	1.00E00
FAS signaling pathway (P00020)	28	2	.72	+	2.76	1.74E-01	1.00E00
General transcription regulation (P00023)	31	2	.80	+	2.49	2.02E-01	1.00E00
Adrenaline and noradrenaline biosynthesis (P00001)	16	1	.41	+	2.42	3.52E-01	1.00E00
Muscarinic acetylcholine receptor 1 and 3 signaling pathway (P00042)	52	3	1.34	+	2.23	1.61E-01	1.00E00
Interleukin signaling pathway (P00036)	56	3	1.45	+	2.07	1.86E-01	1.00E00
Hedgehog signaling pathway (P00025)	19	1	.49	+	2.03	4.00E-01	1.00E00
Ionotropic glutamate receptor pathway (P00037)	42	2	1.09	+	1.84	3.05E-01	1.00E00
Cadherin signaling pathway (P00012)	90	4	2.33	+	1.72	3.03E-01	1.00E00
Transcription regulation by bZIP transcription factor (P00055)	47	2	1.22	+	1.65	3.51E-01	1.00E00
Oxidative stress response (P00046)	48	2	1.24	+	1.61	3.60E-01	1.00E00
Beta3 adrenergic receptor signaling pathway (P04379)	24	1	.62	+	1.61	4.72E-01	1.00E00
PDGF signaling pathway (P00047)	123	5	3.18	+	1.57	2.59E-01	1.00E00
Metabotropic glutamate receptor group I pathway (P00041)	25	1	.65	+	1.55	4.85E-01	1.00E00
Parkinson disease (P00049)	76	3	1.97	+	1.53	4.53E-01	1.00E00
Nicotinic acetylcholine receptor signaling pathway (P00044)	76	3	1.97	+	1.53	4.53E-01	1.00E00
Cortocotropin releasing factor receptor signaling pathway (P04380)	27	1	.70	+	1.43	5.11E-01	1.00E00
Apoptosis signaling pathway (P00006)	81	3	2.09	+	1.43	4.72E-01	1.00E00
Muscarinic acetylcholine receptor 2 and 4 signaling pathway (P00043)	55	2	1.42	+	1.41	6.56E-01	1.00E00
p53 pathway (P00059)	57	2	1.47	+	1.36	6.61E-01	1.00E00
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade (P00032)	29	1	.75	+	1.33	5.36E-01	1.00E00
Opioid prodynorphin pathway (P05916)	30	1	.78	+	1.29	5.47E-01	1.00E00
Metabotropic glutamate receptor group III pathway (P00039)	60	2	1.55	+	1.29	6.70E-01	1.00E00
