P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	GH	APLP	0.000303703	0.00412999	0.498352	0.000479182	268.204	353.788	353.573
APHP	GL	APLP	0.177193	1.68489	0.046005	0.294141	132.072	438.043	306.173
MADHP	APLP	APHP	0.0305474	0.50514	0.30673	0.486607	104.779	553.808	520.976
MADLP	APLP	APHP	0.03436	0.562347	0.28694	0.530018	106.569	558.985	521.848
OH	APLP	APHP	0.0365489	0.595909	0.275618	0.549032	104.21	555.447	516.277
OL	APLP	APHP	0.0564266	0.935268	0.174825	0.647999	117.345	547.393	488.917
APHP	APLP	TACHP	0.0172915	0.369127	0.356017	0.0405346	423.148	315.509	304.783
APHP	TACLP	APLP	0.313405	2.92416	0.00172693	0.539721	131.209	507.015	265.047
APHP	GL	GH	0.0257517	0.474325	0.317634	0.173036	252.808	359.596	341.54
MADHP	APHP	GH	0.0376077	0.889946	0.186747	0.196767	392.79	340.254	315.589
MADLP	APHP	GH	0.0459184	1.18555	0.1179	0.233325	394.161	345.93	315.556
OH	APHP	GH	0.0373731	0.912003	0.180884	0.195496	387.014	340.815	316.258
GH	OL	APHP	0.0376452	0.67053	0.25126	0.221896	315.055	370.641	343.747
TACHP	GH	APHP	0.0515435	1.32732	0.092202	0.216492	373.257	336.579	303.582
APHP	TACLP	GH	0.0802917	1.59885	0.0549273	0.537826	276.025	381.151	324.493
GL	MADHP	APHP	0.132678	1.66964	0.0474953	0.66127	111.774	603.012	461.743
GL	MADLP	APHP	0.1279	1.66183	0.0482732	0.641117	114.516	603.913	466.95
GL	OH	APHP	0.127516	1.5956	0.0552896	0.631601	113.121	596.542	461.611
GL	OL	APHP	0.112903	1.44378	0.0744001	0.543781	121.669	569.87	454.245
TACHP	APHP	GL	0.0561426	0.915003	0.180095	0.0406115	376.781	321.044	286.912
GL	TACLP	APHP	0.105544	2.64454	0.00409011	0.187594	458.696	210.876	170.613
MADLP	MADHP	APHP	0.0319148	1.81986	0.0343902	0.0623366	776.753	69.6052	65.2998
OH	MADHP	APHP	0.0442207	1.85392	0.0318755	0.0864191	740.198	74.8363	68.498
OL	MADHP	APHP	0.12067	3.51038	0.000223734	0.281056	655.015	119.076	93.4329
TACHP	APHP	MADHP	0.0608225	0.635078	0.262689	0.0566443	308.628	394.161	348.963
TACLP	MADHP	APHP	0.0905133	1.37539	0.0845059	0.5925	92.6711	608.462	507.457
OH	MADLP	APHP	0.0134311	0.708243	0.239397	0.0277169	741.485	76.6941	74.6612
OL	MADLP	APHP	0.0996015	2.94755	0.00160151	0.233867	666.463	117.786	96.4479
APHP	MADLP	TACHP	0.0556638	1.02715	0.152175	0.140669	395.169	350.952	313.942
TACLP	MADLP	APHP	0.0861316	1.34015	0.090099	0.563936	95.7964	609.701	513.001
OL	OH	APHP	0.0952312	2.80682	0.00250168	0.216268	667.529	111.012	91.7068
TACHP	APHP	OH	0.0391921	0.40158	0.343996	0.0425385	307.009	386.203	357.073
TACLP	OH	APHP	0.0853441	1.29582	0.0975181	0.54888	96.9088	601.954	507.287
TACHP	APHP	OL	0.00661722	0.0703922	0.471941	0.00870321	308.182	368.071	363.232
TACLP	OL	APHP	0.0704597	1.09179	0.137464	0.442075	111.527	572.469	497.107
TACLP	TACHP	APHP	0.0281119	0.56115	0.287347	0.0902336	519.316	282.935	267.462
GL	APLP	GH	0.158442	3.4109	0.000323742	0.749333	378.519	246.864	179.336
MADHP	APLP	GH	0.104204	2.39698	0.00826541	0.879525	134.883	584.128	473.879
MADLP	APLP	GH	0.109109	2.59131	0.00478061	0.890748	136.732	589.363	473.405
OH	APLP	GH	0.104089	2.36565	0.0089992	0.876824	132.685	584.137	473.997
OL	APLP	GH	0.110667	2.55037	0.00538039	0.8794	143.182	573.444	459.168
TACHP	APLP	GH	0.0675526	1.64832	0.0496438	0.721298	278.576	386.43	337.525
TACLP	APLP	GH	0.0794099	1.42299	0.0773692	0.56023	438.349	196.595	167.669
GL	APLP	MADHP	0.207473	3.148	0.000821965	0.0603173	799.263	218.363	143.323
GL	APLP	MADLP	0.202695	3.16153	0.000784712	0.0613206	804.18	219.895	145.775
GL	APLP	OH	0.198314	3.04599	0.00115959	0.0626014	798.686	215.579	144.225
GL	APLP	OL	0.213115	3.44325	0.000287386	0.0766554	780.015	218.098	141.468
GL	APLP	TACHP	0.255751	4.54254	2.77899e-06	0.287891	486.471	246.962	146.368
TACLP	APLP	GL	0.0533619	0.896344	0.185035	0.0344423	286.648	176.549	158.661
MADLP	MADHP	APLP	0.0276876	1.43732	0.0753137	0.00376201	1186.19	62.847	59.4606
OH	MADHP	APLP	0.0173347	0.731928	0.232106	0.00245661	1146.34	64.7825	62.5748
MADHP	OL	APLP	0.106613	2.49472	0.00630276	0.0211711	1031.67	98.5124	79.5306
APLP	MADHP	TACHP	0.0281731	0.450256	0.326263	0.120435	169.279	540.278	510.669
TACLP	APLP	MADHP	0.311757	4.67143	1.49552e-06	0.0785228	900.525	209.527	109.933
MADLP	OH	APLP	0.00882125	0.415187	0.339003	0.0013109	1146.29	67.3999	66.2212
MADLP	OL	APLP	0.123531	3.42577	0.000306524	0.0248492	1043.31	101.721	79.3526
APLP	MADLP	TACHP	0.0248312	0.394663	0.346546	0.106639	171.348	542.41	516.125
TACLP	APLP	MADLP	0.303207	4.61915	1.92654e-06	0.0799731	906.335	211.951	113.325
OH	OL	APLP	0.123486	3.24432	0.000588658	0.0235786	1043.79	96.3918	75.2023
APLP	OH	TACHP	0.037175	0.589854	0.277644	0.1584	165.827	548.763	509.425
TACLP	APLP	OH	0.289203	4.18212	1.44403e-05	0.0801042	900.445	207.239	114.26
APLP	OL	TACHP	0.0425899	0.691338	0.244677	0.178304	175.793	542.526	498.201
TACLP	APLP	OL	0.275787	4.25199	1.05941e-05	0.0883217	878.729	206.713	117.342
TACHP	APLP	TACLP	0.156892	1.47954	0.0694984	0.214002	107.391	456.998	333.047
MADHP	GL	GH	0.0396548	0.633733	0.263128	0.343549	103.254	560.011	517.291
MADLP	GL	GH	0.0447764	0.761681	0.223125	0.369185	105.789	565.011	516.581
OH	GL	GH	0.039652	0.646778	0.258888	0.339235	103.357	558.635	516.023
OL	GL	GH	0.0444191	0.735941	0.230883	0.362452	110.225	549.588	502.84
GL	TACHP	GH	0.0243683	0.496601	0.309735	0.206653	231.884	391.428	372.805
GL	TACLP	GH	0.0901331	1.59971	0.0548317	0.428351	376.133	233.439	194.837
MADLP	MADHP	GH	0.0472238	2.2722	0.0115371	0.0438593	847.657	63.3074	57.5978
MADHP	OH	GH	0.000826931	0.0313239	0.487506	0.000860538	807.732	65.276	65.1681
OL	MADHP	GH	0.0209621	0.885652	0.187902	0.0309954	711.227	98.0867	94.0589
MADHP	GH	TACHP	0.0399694	0.579633	0.281081	0.130495	320.363	381.706	352.366
MADHP	TACLP	GH	0.0715139	1.32773	0.0921329	0.653979	89.3249	609.237	527.915
MADLP	OH	GH	0.0422515	2.26653	0.0117095	0.0443472	809.331	71.7522	65.9348
MADLP	OL	GH	0.00864949	0.48047	0.315447	0.0128243	723.663	98.0624	96.3805
MADLP	GH	TACHP	0.044014	0.637924	0.261762	0.1435	320.345	387.398	354.734
MADLP	TACLP	GH	0.0761938	1.50401	0.0662893	0.663632	92.306	614.636	527.605
OL	OH	GH	0.0221773	1.21305	0.112555	0.0318255	722.581	95.3085	91.1729
OH	GH	TACHP	0.0265635	0.37317	0.354511	0.0911489	317.698	378.933	359.323
OH	TACLP	GH	0.0715747	1.34868	0.08872	0.651732	92.4411	607.946	526.731
OL	GH	TACHP	0.0197483	0.292605	0.384912	0.0701929	312.213	377.584	362.96
OL	TACLP	GH	0.0771985	1.49048	0.0680493	0.656802	104.764	595.47	510.12
TACHP	TACLP	GH	0.0341896	0.637107	0.262028	0.294667	448.894	302.166	282.187
MADLP	MADHP	GL	0.0204822	0.704741	0.240486	0.00212806	1259.8	61.4187	58.9532
MADHP	OH	GL	0.0118016	0.305807	0.379876	0.00127865	1218.49	63.37	61.8917
MADHP	OL	GL	0.102458	2.79159	0.00262248	0.0150441	1103.36	93.5753	76.1824
GL	MADHP	TACHP	0.126235	2.52681	0.00575516	0.369194	134.78	580.819	450.616
TACLP	GL	MADHP	0.0779276	1.51392	0.0650232	0.0193588	807.87	169.818	145.264
MADLP	OH	GL	0.0297548	0.91564	0.179928	0.00340403	1218.49	68.2432	64.2994
MADLP	OL	GL	0.114049	4.13022	1.81206e-05	0.0171407	1115.21	96.9906	77.1322
GL	MADLP	TACHP	0.122252	2.6391	0.00415634	0.362977	137.184	582.365	455.486
TACLP	GL	MADLP	0.0766975	1.5	0.0668068	0.0198717	812.532	172.014	147.508
OH	OL	GL	0.0966563	3.20532	0.000674554	0.0137833	1114.31	90.2836	74.3689
GL	OH	TACHP	0.135136	2.78686	0.00266106	0.397579	133.425	587.716	447.783
TACLP	GL	OH	0.0682622	1.26122	0.103615	0.0186302	805.778	169.205	147.58
GL	OL	TACHP	0.141727	3.04081	0.00117971	0.411745	140.356	583.718	438.8
TACLP	GL	OL	0.039722	0.8215	0.205681	0.0125915	787.407	166.748	154.007
GL	TACHP	TACLP	0.00476794	0.0451821	0.481981	0.0069268	98.8248	425.075	421.041
MADLP	MADHP	OH	0.0273351	0.939133	0.173831	0	133.422	91.6358	86.7594
MADHP	MADLP	OL	0.0513709	1.6891	0.0455998	0	249.071	86.2954	77.8624
MADLP	MADHP	TACHP	0.0277596	1.16879	0.121245	0.0146891	813.874	61.5273	58.2036
MADLP	MADHP	TACLP	0.0210375	1.05178	0.14645	0.00193789	1281.63	58.6891	56.2707
MADHP	OH	OL	0.0774246	2.69652	0.00350338	0	214.265	99.0826	84.8423
MADHP	OH	TACHP	0.0733309	2.36258	0.00907405	0.043995	772.037	71.2064	61.4766
MADHP	OH	TACLP	0.0361782	1.21518	0.112148	0.00353843	1239.86	63.1157	58.7084
MADHP	OL	TACHP	0.0750044	2.40195	0.008154	0.0663417	671.88	105.459	90.7429
MADHP	OL	TACLP	0.172607	4.35912	6.52921e-06	0.0234475	1121.73	99.2042	69.9986
MADHP	TACLP	TACHP	0.157132	2.13343	0.0164446	0.885904	55.2148	721.855	525.807
MADLP	OH	OL	0.029705	2.04624	0.0203663	0	210.961	100.655	94.8472
MADLP	OH	TACHP	0.093118	4.0513	2.5467e-05	0.0575737	772.572	76.6176	63.5642
MADLP	OH	TACLP	0.052655	2.28154	0.0112584	0.00546946	1240.1	68.2297	61.4038
MADLP	OL	TACHP	0.0905376	3.20558	0.000673948	0.0795796	683.5	108.645	90.6055
MADLP	OL	TACLP	0.182122	4.97639	3.23909e-07	0.0253484	1133.59	102.633	71.0089
MADLP	TACLP	TACHP	0.159125	2.16374	0.0152422	0.88527	57.087	726.145	526.774
OH	OL	TACHP	0.0258056	0.951261	0.170736	0.0234659	679.766	99.1045	94.1183
OH	OL	TACLP	0.149373	4.81696	7.28822e-07	0.0199764	1132.17	95.4065	70.6084
OH	TACLP	TACHP	0.149103	1.98209	0.0237346	0.879514	55.721	717.953	531.636
OL	TACLP	TACHP	0.147709	1.98083	0.0238051	0.868117	67.0415	704.476	523.145
