P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
APHP	APLP	GH	0.0570998	1.89379	0.0291264	0.031045	318.844	66.4035	59.2299
APHP	APLP	GL	0.0697709	1.922	0.0273028	0.0223005	322.618	67.4949	58.6908
APLP	APHP	MADHP	0.0372156	1.4028	0.0803376	0.00990911	456.411	53.8942	50.0267
APLP	APHP	MADLP	0.0229969	0.946211	0.172021	0.0058233	456.523	52.2682	49.9182
APLP	APHP	OH	0.0226978	1.37487	0.0845864	0.0155083	447.783	53.0812	50.725
APLP	APHP	OL	0.0286361	1.60439	0.0543135	0.0124673	455.149	52.5218	49.5975
APHP	APLP	TACHP	0.0691466	1.95825	0.0251002	0.0289676	295.498	69.5635	60.5655
APHP	APLP	TACLP	0.0608074	1.672	0.0472625	0.0194086	295.927	69.2293	61.2926
GL	GH	APHP	0.0517933	1.03607	0.150084	0.0202255	310.19	43.7965	39.4831
GH	APHP	MADHP	0.0716947	2.10669	0.0175723	0.043344	273.923	131.02	113.49
GH	APHP	MADLP	0.0658849	1.64146	0.0503513	0.0382911	273.561	128.92	112.982
GH	APHP	OH	0.0711567	2.25873	0.0119501	0.102709	265.735	130.647	113.29
GH	APHP	OL	0.0683123	2.11959	0.0170201	0.0662429	271.449	128.437	112.011
APHP	GH	TACHP	0.114805	1.59029	0.0558852	0.114852	113.114	173.539	137.796
APHP	GH	TACLP	0.103887	1.35988	0.0869338	0.0787007	113.823	170.985	138.802
GL	APHP	MADHP	0.0565688	1.32023	0.0933788	0.0347121	268.521	129.932	116.019
GL	APHP	MADLP	0.0495259	0.907879	0.181971	0.0290713	267.371	127.043	115.053
GL	APHP	OH	0.0611169	1.72963	0.0418484	0.0896766	260.742	129.968	114.997
GL	APHP	OL	0.0585014	1.51292	0.06515	0.0574166	266.43	127.73	113.611
APHP	GL	TACHP	0.167841	2.04848	0.0202566	0.174584	104.696	187.621	133.692
APHP	GL	TACLP	0.165262	1.8925	0.029212	0.12857	103.487	185.355	132.779
MADLP	MADHP	APHP	0.0120772	0.381216	0.351521	0.00489601	411.644	72.8374	71.099
MADHP	OH	APHP	0.0319277	1.20532	0.11404	0.0220374	285.618	126.298	118.483
OL	MADHP	APHP	0.000499158	0.0193687	0.492273	0.000311716	320.974	110.266	110.156
TACHP	APHP	MADHP	0.0899669	1.62086	0.0525242	0.0515221	294.663	127.078	106.1
TACLP	APHP	MADHP	0.058668	1.02319	0.153109	0.034567	292.675	124.794	110.962
MADLP	OH	APHP	0.0375305	1.26499	0.102938	0.0268698	273.023	132.055	122.502
MADLP	OL	APHP	0.00728727	0.24553	0.403023	0.00457968	315.747	112.538	110.909
TACHP	APHP	MADLP	0.0943402	1.73292	0.0415551	0.0516384	295.835	126.512	104.699
TACLP	APHP	MADLP	0.0667158	1.15917	0.123194	0.0374164	294.225	124.605	109.019
OL	OH	APHP	0.0305221	1.70957	0.0436723	0.0224534	269.085	133.792	125.867
TACHP	APHP	OH	0.0703604	1.91668	0.0276391	0.100414	286.285	126.515	109.882
TACLP	APHP	OH	0.0479452	1.17403	0.120191	0.0714534	285.392	125.326	113.858
TACHP	APHP	OL	0.0911045	2.03724	0.0208132	0.0833441	293.48	125.785	104.78
TACLP	APHP	OL	0.0669966	1.41537	0.0784795	0.0632032	292.085	124.093	108.509
TACHP	TACLP	APHP	0.00545371	0.0603547	0.475937	0.00162507	351.892	27.3923	27.0951
GL	GH	APLP	0.0318626	0.579687	0.281063	0.00839158	302.662	43.4422	40.7593
GH	APLP	MADHP	0.0572912	1.47134	0.0705991	0.0337815	280.014	126.07	112.407
GH	APLP	MADLP	0.0576657	1.31187	0.0947813	0.0326452	278.773	124.608	111.021
GH	APLP	OH	0.0630464	1.83412	0.0333183	0.088767	271.091	126.473	111.472
GH	APLP	OL	0.0578295	1.60962	0.0537404	0.0544495	276.595	123.484	109.983
APLP	GH	TACHP	0.0871848	1.14082	0.126973	0.0883962	113.502	166.753	140.008
APLP	GH	TACLP	0.0797487	0.979871	0.163575	0.060467	114.15	164.138	139.892
GL	APLP	MADHP	0.0420078	0.853993	0.196554	0.0250631	275.852	124.592	114.546
GL	APLP	MADLP	0.0410238	0.691818	0.244526	0.0233735	273.796	122.314	112.674
GL	APLP	OH	0.0529251	1.33483	0.0909661	0.0755635	267.423	125.489	112.873
GL	APLP	OL	0.0478975	1.1051	0.134559	0.0455244	272.884	122.456	111.262
APLP	GL	TACHP	0.142037	1.66298	0.0481587	0.148494	106.514	180.635	135.703
APLP	GL	TACLP	0.143235	1.57363	0.0577867	0.111324	105.079	178.143	133.504
MADLP	MADHP	APLP	0.00155636	0.0462126	0.48157	0.000467929	413.73	71.056	70.8352
MADHP	OH	APLP	0.0383385	1.29304	0.0979989	0.0197836	287.974	126.299	116.972
MADHP	OL	APLP	0.00380242	0.124716	0.450374	0.0017673	323.715	109.974	109.14
TACHP	APLP	MADHP	0.0751617	1.28346	0.0996661	0.0420237	302.833	122.382	105.272
TACLP	APLP	MADHP	0.043133	0.70863	0.239277	0.0249015	300.169	120.483	110.519
MADLP	OH	APLP	0.0377481	1.20962	0.113212	0.0202303	274.56	131.236	121.689
MADLP	OL	APLP	0.00474976	0.146423	0.441794	0.00223334	317.613	111.48	110.426
TACHP	APLP	MADLP	0.0859461	1.51113	0.0653773	0.0460751	303.627	122.956	103.494
TACLP	APLP	MADLP	0.0576408	0.956304	0.169459	0.0317751	301.343	121.436	108.2
OL	OH	APLP	0.0329193	1.73053	0.041768	0.0180332	270.9	133.251	124.757
TACHP	APLP	OH	0.0619734	1.59926	0.0548819	0.0861897	293.447	122.323	108.047
TACLP	APLP	OH	0.0389241	0.89688	0.184892	0.0567725	291.958	121.598	112.487
TACHP	APLP	OL	0.0808817	1.75481	0.0396456	0.0717413	300.433	120.816	102.735
TACLP	APLP	OL	0.0559709	1.13104	0.12902	0.0513429	298.27	119.417	106.758
TACLP	TACHP	APLP	0.0137684	0.151298	0.43987	0.00260228	343.93	28.131	27.3669
GH	GL	MADHP	0.0514722	0.743086	0.228715	0.00894315	460.153	36.9438	33.3268
GH	GL	MADLP	0.0563485	0.791488	0.21433	0.00948441	460.027	37.0026	33.0549
GH	GL	OH	0.034089	0.619589	0.267764	0.0141198	452.646	36.1933	33.8071
GH	GL	OL	0.0328742	0.508125	0.305683	0.00930285	459.763	36.2375	33.9308
GH	GL	TACHP	0.19742	2.96447	0.00151601	0.0663974	242.936	55.1544	36.9677
GH	GL	TACLP	0.222037	3.88249	5.16952e-05	0.0541318	244.957	56.1183	35.7255
MADLP	MADHP	GH	0.0010626	0.0438715	0.482503	0.000371712	425.066	68.7291	68.5832
MADHP	OH	GH	0.0335549	1.42205	0.0775062	0.0203691	299.695	123.018	115.03
MADHP	OL	GH	0.00466564	0.195454	0.422519	0.00253615	334.322	107.079	106.084
TACHP	GH	MADHP	0.0173734	0.36385	0.357985	0.00846875	321.821	100.963	97.5151
GH	TACLP	MADHP	0.0182478	0.385138	0.350068	0.00914541	317.094	103.198	99.4996
MADLP	OH	GH	0.0329322	1.37635	0.0843559	0.0207209	285.882	127.557	119.423
MADLP	OL	GH	0.00531691	0.191257	0.424162	0.00290538	327.452	107.818	106.677
TACHP	GH	MADLP	0.0296515	0.61018	0.270871	0.0139079	323.005	102.001	96.1266
GH	TACLP	MADLP	0.0017459	0.0373071	0.48512	0.000843943	318.164	100.774	100.423
OL	OH	GH	0.0277534	1.62548	0.0520299	0.0178504	282.134	129.484	122.491
GH	TACHP	OH	0.00357036	0.0778305	0.468981	0.00428849	314.003	101.858	101.133
GH	TACLP	OH	0.0285505	0.604646	0.272707	0.0348525	309.813	106.096	100.206
TACHP	GH	OL	0.022848	0.448988	0.32672	0.0181721	322.38	102.517	97.9372
GH	TACLP	OL	0.00411985	0.0778776	0.468963	0.00339578	318.369	102.611	101.769
TACLP	TACHP	GH	0.0648316	0.741201	0.229286	0.0185145	315.851	26.7965	23.5335
MADHP	MADLP	GL	0.00134144	0.0586659	0.476609	0.00033757	421.488	68.9529	68.7682
MADHP	OH	GL	0.0281581	1.02592	0.152466	0.0123464	297.652	123.361	116.604
OL	MADHP	GL	0.0014708	0.0461396	0.481599	0.000576553	332.105	107.485	107.169
TACHP	GL	MADHP	0.0377327	0.632624	0.26349	0.0173519	332.582	97.1545	90.0893
GL	TACLP	MADHP	0.000428861	0.00743264	0.497035	0.000204089	329.701	95.4119	95.3301
MADLP	OH	GL	0.026434	0.907437	0.182088	0.0120127	283.538	127.599	121.027
OL	MADLP	GL	0.00231418	0.0648378	0.474152	0.000913933	325.206	108.379	107.879
TACHP	GL	MADLP	0.0525618	0.799161	0.212099	0.0232534	333.591	98.3482	88.5258
TACLP	GL	MADLP	0.0190203	0.30746	0.379247	0.00863337	330.524	96.3386	92.7423
OL	OH	GL	0.0279424	1.31391	0.0944382	0.012916	280.359	130.094	123.022
TACHP	GL	OH	0.00869463	0.155116	0.438365	0.0100305	325.048	96.3778	94.7163
GL	TACLP	OH	0.0180978	0.324607	0.372739	0.0209871	322.664	98.5538	95.05
TACHP	GL	OL	0.0362479	0.566088	0.285667	0.0273245	334.181	98.4379	91.5512
TACLP	GL	OL	0.00760575	0.119455	0.452457	0.00594053	331.708	97.0222	95.5575
TACLP	TACHP	GL	0.0207488	0.220011	0.412931	0.00337841	296.865	25.9976	24.9407
MADLP	MADHP	OH	0.099249	2.67927	0.00368918	2.77568	273.303	101.63	83.2784
MADLP	MADHP	OL	0.039392	1.40625	0.0798244	0.286903	228.479	100.379	92.7706
MADLP	MADHP	TACHP	0.0187581	0.507749	0.305815	0.00514085	429.641	69.8558	67.2833
MADLP	MADHP	TACLP	0.0250798	0.737485	0.230414	0.00587844	424.031	71.3929	67.8995
OH	OL	MADHP	0.124415	2.92651	0.00171393	0.198466	129.298	196.897	153.325
MADHP	OH	TACHP	0.0516665	1.77019	0.0383474	0.024352	299.717	123.764	111.604
MADHP	OH	TACLP	0.042494	1.47582	0.0699955	0.017228	295.646	124.859	114.68
OL	MADHP	TACHP	0.000654599	0.0228914	0.490868	0.000274766	336.557	104.871	104.734
OL	MADHP	TACLP	0.00871285	0.306301	0.379688	0.00314221	332.336	107.798	105.936
TACHP	TACLP	MADHP	0.182608	1.95124	0.025514	0.0175528	529.356	23.1428	15.9958
OH	OL	MADLP	0.158163	4.46158	4.06795e-06	0.216105	138.877	198.867	144.551
MADLP	OH	TACHP	0.0603315	1.80482	0.0355513	0.0292674	287.068	129.468	114.735
MADLP	OH	TACLP	0.0551135	1.59236	0.0556517	0.0230067	283.31	130.874	117.202
MADLP	OL	TACHP	0.0114914	0.321365	0.373967	0.00484246	331.393	107.178	104.743
MADLP	OL	TACLP	0.0075604	0.21021	0.416752	0.00274484	327.486	108.693	107.062
TACHP	TACLP	MADLP	0.160887	1.7431	0.0406581	0.0147394	532.169	22.4623	16.2362
OL	OH	TACHP	0.049383	2.76269	0.00286638	0.0245895	282.59	130.664	118.366
OL	OH	TACLP	0.0474486	2.57767	0.00497352	0.0203176	279.668	132.907	120.866
TACHP	TACLP	OH	0.131399	2.16116	0.0153416	0.0311831	518.272	22.2377	17.0724
TACHP	TACLP	OL	0.136196	1.76558	0.0387328	0.021513	530.692	22.6161	17.1941
