PANTHER Pathways	danio_orthologue_universe.txt - REFLIST (13223)	river_specific_outlier_danio_ensembl_Aripo.txt (332)	river_specific_outlier_danio_ensembl_Aripo.txt (expected)	river_specific_outlier_danio_ensembl_Aripo.txt (over/under)	river_specific_outlier_danio_ensembl_Aripo.txt (fold Enrichment)	river_specific_outlier_danio_ensembl_Aripo.txt (raw P-value)	river_specific_outlier_danio_ensembl_Aripo.txt (FDR)
MYO signaling pathway (P06215)	1	1	.03	+	39.83	4.84E-02	1.00E00
Activin beta signaling pathway (P06210)	1	1	.03	+	39.83	4.84E-02	1.00E00
ALP23B signaling pathway (P06209)	1	1	.03	+	39.83	4.84E-02	1.00E00
Pyridoxal phosphate salvage pathway (P02770)	3	1	.08	+	13.28	9.44E-02	1.00E00
Vitamin B6 metabolism (P02787)	4	1	.10	+	9.96	1.17E-01	1.00E00
P53 pathway feedback loops 1 (P04392)	4	1	.10	+	9.96	1.17E-01	1.00E00
Salvage pyrimidine ribonucleotides (P02775)	6	1	.15	+	6.64	1.59E-01	1.00E00
5-Hydroxytryptamine degredation (P04372)	13	2	.33	+	6.13	5.09E-02	1.00E00
2-arachidonoylglycerol biosynthesis (P05726)	7	1	.18	+	5.69	1.80E-01	1.00E00
Fructose galactose metabolism (P02744)	8	1	.20	+	4.98	2.00E-01	1.00E00
Hedgehog signaling pathway (P00025)	19	2	.48	+	4.19	9.26E-02	1.00E00
De novo purine biosynthesis (P02738)	21	2	.53	+	3.79	1.08E-01	1.00E00
Circadian clock system (P00015)	13	1	.33	+	3.06	2.93E-01	1.00E00
p53 pathway by glucose deprivation (P04397)	15	1	.38	+	2.66	3.28E-01	1.00E00
Adrenaline and noradrenaline biosynthesis (P00001)	16	1	.40	+	2.49	3.44E-01	1.00E00
Nicotine pharmacodynamics pathway (P06587)	32	2	.80	+	2.49	2.02E-01	1.00E00
GABA-B receptor II signaling (P05731)	32	2	.80	+	2.49	2.02E-01	1.00E00
Dopamine receptor mediated signaling pathway (P05912)	52	3	1.31	+	2.30	1.52E-01	1.00E00
Alpha adrenergic receptor signaling pathway (P00002)	18	1	.45	+	2.21	3.76E-01	1.00E00
Endogenous cannabinoid signaling (P05730)	18	1	.45	+	2.21	3.76E-01	1.00E00
Metabotropic glutamate receptor group III pathway (P00039)	60	3	1.51	+	1.99	2.00E-01	1.00E00
Huntington disease (P00029)	104	5	2.61	+	1.91	1.96E-01	1.00E00
Ionotropic glutamate receptor pathway (P00037)	42	2	1.05	+	1.90	2.93E-01	1.00E00
Hypoxia response via HIF activation (P00030)	21	1	.53	+	1.90	4.21E-01	1.00E00
Cell cycle (P00013)	21	1	.53	+	1.90	4.21E-01	1.00E00
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway (P00027)	106	5	2.66	+	1.88	2.00E-01	1.00E00
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway (P00026)	130	6	3.26	+	1.84	1.51E-01	1.00E00
DNA replication (P00017)	22	1	.55	+	1.81	4.35E-01	1.00E00
Cadherin signaling pathway (P00012)	90	4	2.26	+	1.77	2.95E-01	1.00E00
Notch signaling pathway (P00045)	23	1	.58	+	1.73	4.49E-01	1.00E00
Transcription regulation by bZIP transcription factor (P00055)	47	2	1.18	+	1.69	3.38E-01	1.00E00
Endothelin signaling pathway (P00019)	73	3	1.83	+	1.64	4.36E-01	1.00E00
Metabotropic glutamate receptor group I pathway (P00041)	25	1	.63	+	1.59	4.76E-01	1.00E00
Histamine H2 receptor mediated signaling pathway (P04386)	25	1	.63	+	1.59	4.76E-01	1.00E00
Nicotinic acetylcholine receptor signaling pathway (P00044)	76	3	1.91	+	1.57	4.46E-01	1.00E00
VEGF signaling pathway (P00056)	55	2	1.38	+	1.45	6.51E-01	1.00E00
Wnt signaling pathway (P00057)	194	7	4.87	+	1.44	3.50E-01	1.00E00
p53 pathway (P00059)	57	2	1.43	+	1.40	6.57E-01	1.00E00
Angiotensin II-stimulated signaling through G proteins and beta-arrestin (P05911)	30	1	.75	+	1.33	5.37E-01	1.00E00
TGF-beta signaling pathway (P00052)	93	3	2.34	+	1.28	5.11E-01	1.00E00
Enkephalin release (P05913)	34	1	.85	+	1.17	5.81E-01	1.00E00
Histamine H1 receptor mediated signaling pathway (P04385)	37	1	.93	+	1.08	6.11E-01	1.00E00
5HT1 type receptor mediated signaling pathway (P04373)	37	1	.93	+	1.08	6.11E-01	1.00E00
Beta2 adrenergic receptor signaling pathway (P04378)	39	1	.98	+	1.02	1.00E00	1.00E00
Unclassified (UNCLASSIFIED)	11340	289	284.72	+	1.02	5.77E-01	1.00E00
p38 MAPK pathway (P05918)	40	1	1.00	-	1.00	1.00E00	1.00E00
p53 pathway feedback loops 2 (P04398)	40	1	1.00	-	1.00	1.00E00	1.00E00
Metabotropic glutamate receptor group II pathway (P00040)	40	1	1.00	-	1.00	1.00E00	1.00E00
Beta1 adrenergic receptor signaling pathway (P04377)	40	1	1.00	-	1.00	1.00E00	1.00E00
CCKR signaling map (P06959)	131	3	3.29	-	.91	1.00E00	1.00E00
Ubiquitin proteasome pathway (P00060)	48	1	1.21	-	.83	1.00E00	1.00E00
Oxytocin receptor mediated signaling pathway (P04391)	51	1	1.28	-	.78	1.00E00	1.00E00
Thyrotropin-releasing hormone receptor signaling pathway (P04394)	52	1	1.31	-	.77	1.00E00	1.00E00
Muscarinic acetylcholine receptor 1 and 3 signaling pathway (P00042)	52	1	1.31	-	.77	1.00E00	1.00E00
Cytoskeletal regulation by Rho GTPase (P00016)	53	1	1.33	-	.75	1.00E00	1.00E00
Muscarinic acetylcholine receptor 2 and 4 signaling pathway (P00043)	55	1	1.38	-	.72	1.00E00	1.00E00
5HT2 type receptor mediated signaling pathway (P04374)	56	1	1.41	-	.71	1.00E00	1.00E00
Angiogenesis (P00005)	145	2	3.64	-	.55	5.90E-01	1.00E00
Parkinson disease (P00049)	76	1	1.91	-	.52	1.00E00	1.00E00
Gonadotropin-releasing hormone receptor pathway (P06664)	199	2	5.00	-	.40	2.47E-01	1.00E00
