PANTHER Pathways	danio_orthologue_universe.txt - REFLIST (13223)	river_specific_outlier_danio_ensembl_Guanapo.txt (102)	river_specific_outlier_danio_ensembl_Guanapo.txt (expected)	river_specific_outlier_danio_ensembl_Guanapo.txt (over/under)	river_specific_outlier_danio_ensembl_Guanapo.txt (fold Enrichment)	river_specific_outlier_danio_ensembl_Guanapo.txt (raw P-value)	river_specific_outlier_danio_ensembl_Guanapo.txt (FDR)
FAS signaling pathway (P00020)	28	1	.22	+	4.63	2.00E-01	1.00E00
Axon guidance mediated by netrin (P00009)	34	1	.26	+	3.81	2.36E-01	1.00E00
Histamine H1 receptor mediated signaling pathway (P04385)	37	1	.29	+	3.50	2.54E-01	1.00E00
Cadherin signaling pathway (P00012)	90	2	.69	+	2.88	1.57E-01	1.00E00
Wnt signaling pathway (P00057)	194	4	1.50	+	2.67	6.55E-02	1.00E00
Oxytocin receptor mediated signaling pathway (P04391)	51	1	.39	+	2.54	3.30E-01	1.00E00
Thyrotropin-releasing hormone receptor signaling pathway (P04394)	52	1	.40	+	2.49	3.35E-01	1.00E00
T cell activation (P00053)	54	1	.42	+	2.40	3.45E-01	1.00E00
VEGF signaling pathway (P00056)	55	1	.42	+	2.36	3.50E-01	1.00E00
B cell activation (P00010)	55	1	.42	+	2.36	3.50E-01	1.00E00
Interleukin signaling pathway (P00036)	56	1	.43	+	2.31	3.55E-01	1.00E00
5HT2 type receptor mediated signaling pathway (P04374)	56	1	.43	+	2.31	3.55E-01	1.00E00
CCKR signaling map (P06959)	131	2	1.01	+	1.98	2.71E-01	1.00E00
Parkinson disease (P00049)	76	1	.59	+	1.71	4.48E-01	1.00E00
FGF signaling pathway (P00021)	92	1	.71	+	1.41	5.12E-01	1.00E00
Alzheimer disease-presenilin pathway (P00004)	92	1	.71	+	1.41	5.12E-01	1.00E00
TGF-beta signaling pathway (P00052)	93	1	.72	+	1.39	5.16E-01	1.00E00
EGF receptor signaling pathway (P00018)	107	1	.83	+	1.21	5.65E-01	1.00E00
PDGF signaling pathway (P00047)	123	1	.95	+	1.05	6.16E-01	1.00E00
Unclassified (UNCLASSIFIED)	11340	91	87.47	+	1.04	3.93E-01	1.00E00
Integrin signalling pathway (P00034)	133	1	1.03	-	.97	1.00E00	1.00E00
Angiogenesis (P00005)	145	1	1.12	-	.89	1.00E00	1.00E00
Inflammation mediated by chemokine and cytokine signaling pathway (P00031)	164	1	1.27	-	.79	1.00E00	1.00E00
Gonadotropin-releasing hormone receptor pathway (P06664)	199	1	1.54	-	.65	1.00E00	1.00E00
Alzheimer disease-amyloid secretase pathway (P00003)	61	0	.47	-	 < 0.01	1.00E00	1.00E00
Alpha adrenergic receptor signaling pathway (P00002)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
Adrenaline and noradrenaline biosynthesis (P00001)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
Nicotine pharmacodynamics pathway (P06587)	32	0	.25	-	 < 0.01	1.00E00	1.00E00
Toll pathway-drosophila (P06217)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MYO signaling pathway (P06215)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Xanthine and guanine salvage pathway (P02788)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Activin beta signaling pathway (P06210)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Vitamin B6 metabolism (P02787)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Valine biosynthesis (P02785)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Tyrosine biosynthesis (P02784)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Triacylglycerol metabolism (P02782)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Thiamin metabolism (P02780)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ALP23B signaling pathway (P06209)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Synaptic vesicle trafficking (P05734)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
GABA-B receptor II signaling (P05731)	32	0	.25	-	 < 0.01	1.00E00	1.00E00
Endogenous cannabinoid signaling (P05730)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
Sulfate assimilation (P02778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Succinate to proprionate conversion (P02777)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Serine glycine biosynthesis (P02776)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
Salvage pyrimidine ribonucleotides (P02775)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
Salvage pyrimidine deoxyribonucleotides (P02774)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
S-adenosylmethionine biosynthesis (P02773)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
Pyruvate metabolism (P02772)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
Pyrimidine Metabolism (P02771)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
